district_number,area
D1,"Raffles Place, Marina, Cecil"
D2,"Tanjong Pagar, Chinatown"
D3,"Tiong Bahru, Alexandra, Queenstown"
D4,"Mount Faber, Telok Blangah, Harbourfront"
D5,"Buona Vista, Pasir Panjang, Clementi"
D6,"Clarke Quay, City Hall"
D7,"Bugis, Beach Road, Golden Mile"
D8,"Little India, Farrer Park"
D9,"Orchard Road, River Valley"
D10,"Bukit Timah, Holland, Balmoral"
D11,"Novena, Newton, Thomson"
D12,"Toa Payoh, Serangoon, Balestier"
D13,"Macpherson, Braddell"
D14,"Geylang, Paya Lebar, Sims"
D15,"Joo Chiat, Marina Parade, Katong"
D16,"Bedok, Upper East Coast, Siglap"
D17,"Changi, Flora, Loyang"
D18,"Tampines, Pasir Ris"
D19,"Punggol, Sengkang, Serangoon Gardens"
D20,"Ang Mo Kio, Bishan, Thomson"
D21,"Upper Bukit Timah, Ulu Pandan, Clementi Park"
D22,"Boon Lay, Jurong, Tuas"
D23,"Choa Chu Kang, Diary Farm, Hillview, Bukit Panjang, Bukit Batok"
D24,"Kranji, Lim Chu Kang, Tengah"
D25,"Woodlands, Admiralty"
D26,"Upper Thomson, Mandai"
D27,"Sembawang, Yishun, Admiralty"
D28,"Yio Chu Kang, Seletar"
